parking_id,zone,date_time,total_slots,occupied_slots,avg_parking_duration_minutes,vehicle_type,entry_count,exit_count,parking_fee_collected,violation_reported,occupancy_rate_percent
34,Commercial,2024-01-02 09:00:00,218,191,54,Car,60,18,4830.67,No,87.61
35,Office,2024-01-02 10:00:00,169,120,170,Bike,63,90,90.77,No,71.01
36,Hospital,2024-01-02 11:00:00,176,10,174,Car,67,84,4404.62,No,5.68
37,Office,2024-01-02 12:00:00,232,53,113,Bike,115,50,1038.66,No,22.84
38,Hospital,2024-01-02 13:00:00,65,236,157,Car,93,80,4739.06,No,363.08
39,Commercial,2024-01-02 14:00:00,270,84,99,Car,63,117,1744.42,No,31.11
40,Residential,2024-01-02 15:00:00,111,107,212,Electric,55,114,2229.74,Yes,96.4
41,Mall,2024-01-02 16:00:00,162,217,79,SUV,54,14,3550.25,No,133.95
42,Commercial,2024-01-02 17:00:00,225,18,146,SUV,8,28,2958.96,No,8.0
43,Mall,2024-01-02 18:00:00,207,41,25,SUV,108,65,1623.8,No,19.81
44,Residential,2024-01-02 19:00:00,61,24,122,Car,52,114,2791.46,No,39.34
45,Residential,2024-01-02 20:00:00,84,149,40,Car,36,22,3667.0,No,177.38
46,Commercial,2024-01-02 21:00:00,60,234,203,Car,55,90,259.56,No,390.0
47,Residential,2024-01-02 22:00:00,113,246,179,Bike,56,13,105.44,No,217.7
48,Hospital,2024-01-02 23:00:00,287,215,165,Bike,103,21,2317.43,No,74.91
49,Residential,2024-01-03 00:00:00,99,194,235,Electric,78,106,702.59,No,195.96
50,Mall,2024-01-03 01:00:00,262,145,99,Car,38,108,3338.5,No,55.34
51,Mall,2024-01-03 02:00:00,198,81,233,SUV,40,62,1109.56,No,40.91
52,Mall,2024-01-03 03:00:00,118,164,182,SUV,74,17,2192.61,No,138.98
53,Mall,2024-01-03 04:00:00,97,199,219,Electric,47,54,1028.47,No,205.15
54,Hospital,2024-01-03 05:00:00,69,21,165,SUV,114,105,2764.99,No,30.43
55,Office,2024-01-03 06:00:00,150,74,137,Electric,20,10,624.46,No,49.33
56,Commercial,2024-01-03 07:00:00,244,116,158,Car,63,89,164.38,No,47.54
57,Mall,2024-01-03 08:00:00,221,241,236,SUV,57,55,303.1,No,109.05
58,Residential,2024-01-03 09:00:00,210,51,203,Car,23,40,4773.58,No,24.29
59,Mall,2024-01-03 10:00:00,294,199,82,Bike,102,75,754.32,No,67.69
60,Residential,2024-01-03 11:00:00,250,124,118,SUV,93,104,3556.97,No,49.6
61,Residential,2024-01-03 12:00:00,238,148,94,Bike,99,29,386.23,Yes,62.18
62,Mall,2024-01-03 13:00:00,186,112,173,SUV,117,15,585.39,No,60.22
63,Hospital,2024-01-03 14:00:00,117,180,67,Car,45,48,2568.94,No,153.85
64,Residential,2024-01-03 15:00:00,84,104,120,Electric,85,18,2351.11,No,123.81
65,Residential,2024-01-03 16:00:00,258,26,167,Car,51,113,4760.32,No,10.08
66,Mall,2024-01-03 17:00:00,275,234,58,Car,98,33,4726.94,No,85.09
67,Residential,2024-01-03 18:00:00,265,169,154,Car,107,78,3909.06,No,63.77
68,Residential,2024-01-03 19:00:00,273,230,104,SUV,58,54,3030.4,No,84.25
69,Mall,2024-01-03 20:00:00,114,222,115,Electric,59,116,2302.05,Yes,194.74
70,Mall,2024-01-03 21:00:00,57,94,111,Bike,99,9,1813.08,No,164.91
71,Commercial,2024-01-03 22:00:00,94,177,234,Car,23,76,4738.08,Yes,188.3
72,Hospital,2024-01-03 23:00:00,136,160,23,SUV,66,114,3034.4,No,117.65
73,Hospital,2024-01-04 00:00:00,224,65,26,Bike,103,73,2916.41,No,29.02
74,Residential,2024-01-04 01:00:00,217,143,83,Car,97,92,1197.91,No,65.9
75,Hospital,2024-01-04 02:00:00,125,95,196,Bike,63,108,281.15,No,76.0
76,Residential,2024-01-04 03:00:00,231,187,196,Car,69,61,4728.68,No,80.95
77,Commercial,2024-01-04 04:00:00,125,111,42,Bike,72,30,1602.99,No,88.8
78,Mall,2024-01-04 05:00:00,223,174,70,Bike,32,10,2240.82,No,78.03
79,Mall,2024-01-04 06:00:00,96,246,113,Electric,22,20,617.47,Yes,256.25
80,Mall,2024-01-04 07:00:00,64,201,211,Electric,30,64,4192.78,No,314.06
81,Hospital,2024-01-04 08:00:00,154,63,124,Car,108,104,186.78,No,40.91
82,Commercial,2024-01-04 09:00:00,196,209,91,SUV,23,16,4178.25,Yes,106.63
83,Hospital,2024-01-04 10:00:00,75,242,117,Electric,59,79,744.41,No,322.67
84,Hospital,2024-01-04 11:00:00,101,186,120,Bike,61,7,4438.49,No,184.16
85,Commercial,2024-01-04 12:00:00,142,236,123,Electric,10,67,3662.37,No,166.2
86,Commercial,2024-01-04 13:00:00,199,124,126,Electric,5,112,865.12,No,62.31
87,Commercial,2024-01-04 14:00:00,281,148,72,Car,12,68,2850.8,No,52.67
88,Commercial,2024-01-04 15:00:00,70,97,92,Electric,101,66,1597.65,No,138.57
89,Mall,2024-01-04 16:00:00,100,58,89,Electric,55,105,932.25,Yes,58.0
90,Office,2024-01-04 17:00:00,87,158,56,Bike,111,10,4302.95,No,181.61
91,Office,2024-01-04 18:00:00,69,124,180,Electric,89,23,2047.44,No,179.71
92,Commercial,2024-01-04 19:00:00,298,203,82,Bike,92,22,2022.79,No,68.12
93,Office,2024-01-04 20:00:00,206,72,195,Electric,29,84,890.94,No,34.95
94,Office,2024-01-04 21:00:00,228,113,47,Electric,51,91,1946.18,No,49.56
95,Commercial,2024-01-04 22:00:00,181,92,85,SUV,59,47,4364.5,No,50.83
96,Office,2024-01-04 23:00:00,104,112,70,Electric,68,105,1847.49,No,107.69
97,Hospital,2024-01-05 00:00:00,248,165,119,Bike,111,77,4760.44,No,66.53
98,Residential,2024-01-05 01:00:00,141,26,214,Bike,87,7,4734.23,No,18.44
99,Residential,2024-01-05 02:00:00,77,15,115,Car,97,76,767.25,No,19.48
100,Commercial,2024-01-05 03:00:00,53,156,65,Car,14,42,927.69,Yes,294.34
101,Mall,2024-01-05 04:00:00,199,193,88,SUV,60,72,4320.24,No,96.98
102,Commercial,2024-01-05 05:00:00,125,239,185,Bike,16,80,1994.17,No,191.2
103,Mall,2024-01-05 06:00:00,222,37,135,Bike,37,48,71.65,No,16.67
104,Residential,2024-01-05 07:00:00,116,203,157,Bike,75,99,1405.67,No,175.0
105,Commercial,2024-01-05 08:00:00,135,47,180,SUV,21,93,3008.26,No,34.81
106,Hospital,2024-01-05 09:00:00,285,128,157,Bike,65,84,4006.37,No,44.91
107,Office,2024-01-05 10:00:00,243,46,19,Car,14,67,710.27,No,18.93
108,Mall,2024-01-05 11:00:00,265,124,235,SUV,35,46,597.18,No,46.79
109,Office,2024-01-05 12:00:00,211,77,97,Car,64,68,4614.36,No,36.49
110,Office,2024-01-05 13:00:00,140,223,196,Car,74,58,3768.18,No,159.29
111,Commercial,2024-01-05 14:00:00,232,227,65,SUV,21,82,2969.41,Yes,97.84
112,Office,2024-01-05 15:00:00,154,186,24,Electric,54,81,3857.47,Yes,120.78
113,Hospital,2024-01-05 16:00:00,50,52,154,Electric,41,109,2172.83,Yes,104.0
114,Office,2024-01-05 17:00:00,121,173,18,Car,86,75,3804.36,No,142.98
115,Commercial,2024-01-05 18:00:00,136,67,109,Electric,66,80,1890.42,Yes,49.26
116,Hospital,2024-01-05 19:00:00,215,22,160,Bike,94,41,1258.27,No,10.23
117,Residential,2024-01-05 20:00:00,55,61,94,SUV,117,118,3658.62,No,110.91
118,Office,2024-01-05 21:00:00,263,67,50,Car,84,8,2127.38,No,25.48
119,Commercial,2024-01-05 22:00:00,202,41,39,Bike,76,6,4907.82,No,20.3
120,Residential,2024-01-05 23:00:00,259,218,229,Electric,92,103,1779.95,No,84.17
121,Residential,2024-01-06 00:00:00,194,114,218,Bike,81,48,4612.55,No,58.76
122,Mall,2024-01-06 01:00:00,110,237,112,Electric,33,71,4668.16,No,215.45
123,Hospital,2024-01-06 02:00:00,61,197,178,Car,36,72,1247.17,Yes,322.95
124,Office,2024-01-06 03:00:00,55,247,115,Bike,92,106,4001.19,No,449.09
125,Commercial,2024-01-06 04:00:00,267,92,209,SUV,84,80,2193.72,No,34.46
126,Mall,2024-01-06 05:00:00,76,195,23,Car,15,87,4591.75,No,256.58
127,Hospital,2024-01-06 06:00:00,185,108,75,Bike,100,78,2278.12,No,58.38
128,Mall,2024-01-06 07:00:00,260,247,67,Bike,10,66,3734.3,No,95.0
129,Hospital,2024-01-06 08:00:00,173,113,160,Electric,39,5,2361.49,No,65.32
130,Hospital,2024-01-06 09:00:00,155,193,185,Car,37,21,1177.61,Yes,124.52
131,Office,2024-01-06 10:00:00,242,37,177,Car,22,20,1036.78,No,15.29
132,Hospital,2024-01-06 11:00:00,234,138,77,Car,41,13,2155.88,Yes,58.97
133,Mall,2024-01-06 12:00:00,142,179,135,Car,17,57,3789.7,No,126.06
134,Hospital,2024-01-06 13:00:00,158,219,119,Electric,78,77,3045.1,No,138.61
135,Office,2024-01-06 14:00:00,290,57,220,SUV,105,63,3458.71,No,19.66
136,Office,2024-01-06 15:00:00,148,49,18,Car,94,13,1447.52,No,33.11
137,Mall,2024-01-06 16:00:00,217,106,107,Electric,114,16,2433.1,No,48.85
138,Residential,2024-01-06 17:00:00,191,200,183,SUV,85,45,269.76,No,104.71
139,Residential,2024-01-06 18:00:00,84,213,187,SUV,68,19,4096.79,No,253.57
140,Hospital,2024-01-06 19:00:00,225,209,192,Electric,5,70,4949.97,No,92.89
141,Commercial,2024-01-06 20:00:00,286,225,221,Car,67,79,2064.05,No,78.67
142,Hospital,2024-01-06 21:00:00,133,217,42,SUV,93,15,104.27,No,163.16
143,Mall,2024-01-06 22:00:00,105,123,184,Car,38,12,890.47,Yes,117.14
144,Mall,2024-01-06 23:00:00,226,141,94,Car,107,59,3280.01,No,62.39
145,Mall,2024-01-07 00:00:00,190,175,90,Bike,14,100,3079.79,No,92.11
146,Mall,2024-01-07 01:00:00,238,245,130,Car,88,10,3949.93,Yes,102.94
147,Mall,2024-01-07 02:00:00,279,164,83,Bike,11,57,1306.73,Yes,58.78
148,Office,2024-01-07 03:00:00,98,146,112,SUV,60,24,3829.98,No,148.98
149,Residential,2024-01-07 04:00:00,95,120,15,Electric,84,43,3455.52,No,126.32
150,Mall,2024-01-07 05:00:00,162,153,181,Bike,41,103,1647.93,No,94.44
151,Commercial,2024-01-07 06:00:00,239,193,110,Electric,33,76,2750.17,No,80.75
152,Commercial,2024-01-07 07:00:00,185,85,232,SUV,16,118,779.01,No,45.95
153,Commercial,2024-01-07 08:00:00,92,40,31,Car,21,117,2290.19,No,43.48
154,Commercial,2024-01-07 09:00:00,197,225,126,SUV,52,111,4411.93,No,114.21
155,Office,2024-01-07 10:00:00,173,128,105,Electric,88,38,2134.9,No,73.99
156,Commercial,2024-01-07 11:00:00,146,151,102,SUV,30,61,4205.86,No,103.42
157,Mall,2024-01-07 12:00:00,139,246,177,Car,116,23,2971.75,No,176.98
158,Hospital,2024-01-07 13:00:00,88,34,188,SUV,87,75,999.79,No,38.64
159,Commercial,2024-01-07 14:00:00,134,43,184,Car,115,35,2926.48,No,32.09
160,Office,2024-01-07 15:00:00,294,76,181,Bike,16,86,2554.62,No,25.85
161,Office,2024-01-07 16:00:00,226,161,104,Electric,25,44,2023.27,Yes,71.24
162,Commercial,2024-01-07 17:00:00,241,127,63,Car,46,18,642.17,Yes,52.7
163,Hospital,2024-01-07 18:00:00,111,243,204,Car,65,107,2112.71,No,218.92
164,Commercial,2024-01-07 19:00:00,155,82,52,SUV,62,104,410.17,No,52.9
165,Office,2024-01-07 20:00:00,156,35,165,Bike,58,85,538.91,No,22.44
166,Residential,2024-01-07 21:00:00,103,157,164,Car,38,41,2108.79,No,152.43
167,Mall,2024-01-07 22:00:00,175,201,146,Bike,11,48,1561.64,Yes,114.86
168,Office,2024-01-07 23:00:00,282,113,191,Bike,113,13,4631.44,Yes,40.07
169,Commercial,2024-01-08 00:00:00,58,19,73,SUV,39,62,1909.74,No,32.76
170,Mall,2024-01-08 01:00:00,137,220,215,Car,19,24,3801.4,No,160.58
171,Commercial,2024-01-08 02:00:00,86,76,82,SUV,69,113,2674.73,No,88.37
172,Commercial,2024-01-08 03:00:00,98,161,213,Electric,94,96,3535.22,No,164.29
173,Residential,2024-01-08 04:00:00,90,14,229,Electric,103,54,1337.57,No,15.56
174,Mall,2024-01-08 05:00:00,66,204,144,Car,29,24,4712.43,No,309.09
175,Mall,2024-01-08 06:00:00,137,195,63,Bike,110,109,2673.94,No,142.34
176,Residential,2024-01-08 07:00:00,70,36,230,Car,63,40,4165.05,No,51.43
177,Office,2024-01-08 08:00:00,100,217,140,Car,83,31,1856.98,No,217.0
178,Commercial,2024-01-08 09:00:00,108,122,237,Electric,90,76,546.05,No,112.96
179,Hospital,2024-01-08 10:00:00,216,24,173,Electric,10,36,3384.87,Yes,11.11
180,Commercial,2024-01-08 11:00:00,232,172,125,Bike,56,5,88.41,Yes,74.14
181,Commercial,2024-01-08 12:00:00,90,213,182,Bike,83,21,2402.7,Yes,236.67
182,Office,2024-01-08 13:00:00,88,114,62,Car,92,13,1004.37,Yes,129.55
183,Commercial,2024-01-08 14:00:00,190,190,65,SUV,25,88,3155.51,No,100.0
184,Residential,2024-01-08 15:00:00,241,53,57,Car,75,49,4898.13,No,21.99
185,Residential,2024-01-08 16:00:00,60,35,112,Bike,97,100,2348.79,No,58.33
186,Mall,2024-01-08 17:00:00,287,184,197,SUV,100,70,4096.62,No,64.11
187,Hospital,2024-01-08 18:00:00,196,171,230,Electric,36,36,2563.53,No,87.24
188,Commercial,2024-01-08 19:00:00,188,224,191,Bike,57,49,2504.41,No,119.15
189,Commercial,2024-01-08 20:00:00,126,104,138,Bike,63,13,4655.6,No,82.54
190,Office,2024-01-08 21:00:00,176,187,232,SUV,73,34,4455.33,No,106.25
191,Residential,2024-01-08 22:00:00,95,93,94,Bike,66,88,3939.71,No,97.89
192,Hospital,2024-01-08 23:00:00,94,149,199,Bike,8,42,1516.47,No,158.51
193,Mall,2024-01-09 00:00:00,50,224,125,Bike,90,64,2747.79,No,448.0
194,Residential,2024-01-09 01:00:00,217,141,219,Bike,22,5,1158.29,No,64.98
195,Mall,2024-01-09 02:00:00,157,96,157,Bike,103,9,2247.39,No,61.15
196,Office,2024-01-09 03:00:00,68,185,41,Bike,85,67,2446.85,No,272.06
197,Office,2024-01-09 04:00:00,125,192,210,Bike,118,103,4166.62,Yes,153.6
198,Commercial,2024-01-09 05:00:00,121,121,222,Bike,118,40,4485.34,Yes,100.0
199,Hospital,2024-01-09 06:00:00,249,138,206,Electric,60,69,2102.37,No,55.42
200,Mall,2024-01-09 07:00:00,238,98,236,Bike,28,82,137.64,No,41.18
201,Residential,2024-01-09 08:00:00,294,75,172,Electric,70,77,4315.78,No,25.51
202,Office,2024-01-09 09:00:00,158,167,178,Electric,17,98,912.68,Yes,105.7
203,Commercial,2024-01-09 10:00:00,61,140,209,Car,66,28,3128.32,No,229.51
204,Commercial,2024-01-09 11:00:00,238,131,228,Car,58,8,173.61,No,55.04
205,Mall,2024-01-09 12:00:00,289,158,127,Electric,19,118,2027.56,No,54.67
206,Office,2024-01-09 13:00:00,210,226,100,Electric,73,82,4930.5,No,107.62
207,Hospital,2024-01-09 14:00:00,94,93,128,Bike,7,93,548.43,No,98.94
208,Office,2024-01-09 15:00:00,139,186,138,Car,41,72,2147.28,No,133.81
209,Mall,2024-01-09 16:00:00,152,125,63,SUV,41,29,1570.39,No,82.24
210,Mall,2024-01-09 17:00:00,269,223,90,Car,105,78,4530.19,No,82.9
211,Office,2024-01-09 18:00:00,299,222,69,Electric,7,103,4353.23,Yes,74.25
212,Mall,2024-01-09 19:00:00,246,199,227,Electric,67,11,1226.61,No,80.89
213,Office,2024-01-09 20:00:00,57,234,70,Bike,39,110,451.88,No,410.53
214,Residential,2024-01-09 21:00:00,202,125,210,Bike,56,17,3154.34,No,61.88
215,Office,2024-01-09 22:00:00,140,47,109,Car,91,72,1715.03,No,33.57
216,Office,2024-01-09 23:00:00,223,152,58,Bike,32,118,3376.82,No,68.16
217,Mall,2024-01-10 00:00:00,136,119,173,SUV,98,47,208.99,No,87.5
218,Mall,2024-01-10 01:00:00,207,189,200,SUV,22,61,710.33,No,91.3
219,Commercial,2024-01-10 02:00:00,286,216,101,Bike,40,40,3447.54,Yes,75.52
220,Commercial,2024-01-10 03:00:00,224,55,195,SUV,37,18,1101.23,No,24.55
221,Residential,2024-01-10 04:00:00,264,34,98,SUV,68,86,4295.06,No,12.88
222,Commercial,2024-01-10 05:00:00,226,30,221,Car,30,76,340.02,No,13.27
223,Office,2024-01-10 06:00:00,224,225,165,SUV,52,100,1116.64,No,100.45
224,Mall,2024-01-10 07:00:00,133,130,170,Electric,44,31,4992.87,No,97.74
225,Commercial,2024-01-10 08:00:00,131,131,30,Electric,21,110,2193.73,No,100.0
226,Commercial,2024-01-10 09:00:00,195,142,179,Car,44,41,3529.68,No,72.82
227,Residential,2024-01-10 10:00:00,243,79,163,Bike,11,91,954.18,No,32.51
228,Residential,2024-01-10 11:00:00,117,122,221,Car,61,75,3068.85,No,104.27
229,Office,2024-01-10 12:00:00,271,116,159,Bike,12,80,3644.23,No,42.8
230,Mall,2024-01-10 13:00:00,210,121,51,Bike,60,29,1606.66,No,57.62
231,Residential,2024-01-10 14:00:00,176,117,91,Bike,35,71,4153.04,No,66.48
232,Commercial,2024-01-10 15:00:00,213,56,161,Bike,63,94,3036.92,No,26.29
233,Mall,2024-01-10 16:00:00,131,224,172,Bike,62,8,1976.16,No,170.99
234,Mall,2024-01-10 17:00:00,278,205,59,Car,16,110,2810.33,No,73.74
235,Commercial,2024-01-10 18:00:00,196,100,160,Bike,52,104,2904.97,No,51.02
236,Residential,2024-01-10 19:00:00,288,27,220,SUV,35,83,869.4,No,9.38
237,Commercial,2024-01-10 20:00:00,205,158,76,SUV,112,100,2043.53,No,77.07
238,Mall,2024-01-10 21:00:00,217,229,178,Bike,87,97,1749.98,Yes,105.53
239,Hospital,2024-01-10 22:00:00,133,236,114,SUV,67,78,2034.47,No,177.44
240,Hospital,2024-01-10 23:00:00,162,223,226,Electric,78,89,3817.5,No,137.65
241,Office,2024-01-11 00:00:00,274,113,66,Car,43,20,2438.57,No,41.24
242,Commercial,2024-01-11 01:00:00,125,160,33,Car,80,115,4704.56,No,128.0
243,Commercial,2024-01-11 02:00:00,171,201,123,Bike,24,23,1503.7,Yes,117.54
244,Office,2024-01-11 03:00:00,292,204,58,Bike,105,33,2107.73,No,69.86
245,Office,2024-01-11 04:00:00,192,49,21,Electric,52,55,3945.44,Yes,25.52
246,Office,2024-01-11 05:00:00,90,147,186,Bike,109,22,2752.82,No,163.33
247,Mall,2024-01-11 06:00:00,216,98,131,SUV,75,62,2757.79,No,45.37
248,Commercial,2024-01-11 07:00:00,51,189,82,Electric,58,48,314.03,No,370.59
249,Mall,2024-01-11 08:00:00,240,209,48,SUV,82,20,2023.07,Yes,87.08
250,Office,2024-01-11 09:00:00,78,212,208,Car,79,69,1390.13,No,271.79
251,Commercial,2024-01-11 10:00:00,154,70,83,SUV,75,116,4996.71,No,45.45
252,Mall,2024-01-11 11:00:00,251,201,69,Car,33,6,1576.36,No,80.08
253,Mall,2024-01-11 12:00:00,243,14,24,SUV,78,60,4428.26,No,5.76
254,Office,2024-01-11 13:00:00,100,131,238,Car,97,83,3397.36,Yes,131.0
255,Commercial,2024-01-11 14:00:00,124,246,56,Bike,77,107,1737.54,No,198.39
256,Office,2024-01-11 15:00:00,254,190,55,SUV,104,32,2740.5,No,74.8
257,Commercial,2024-01-11 16:00:00,59,64,219,Car,52,69,4210.65,No,108.47
258,Hospital,2024-01-11 17:00:00,191,46,211,SUV,78,9,4422.67,Yes,24.08
259,Residential,2024-01-11 18:00:00,259,65,136,Electric,87,110,843.95,No,25.1
260,Residential,2024-01-11 19:00:00,100,196,152,Bike,60,26,1730.89,No,196.0
261,Residential,2024-01-11 20:00:00,167,246,24,Car,99,104,1709.35,No,147.31
262,Office,2024-01-11 21:00:00,250,111,116,Electric,21,114,258.12,No,44.4
263,Hospital,2024-01-11 22:00:00,170,102,233,SUV,13,17,3011.28,No,60.0
264,Commercial,2024-01-11 23:00:00,88,206,202,Electric,113,69,4281.36,No,234.09
265,Mall,2024-01-12 00:00:00,77,82,142,SUV,101,20,1938.79,No,106.49
266,Commercial,2024-01-12 01:00:00,52,68,193,Bike,38,109,3713.18,No,130.77
267,Mall,2024-01-12 02:00:00,133,249,163,Electric,49,90,3157.12,No,187.22
268,Commercial,2024-01-12 03:00:00,247,11,150,Bike,92,68,1909.46,Yes,4.45
269,Hospital,2024-01-12 04:00:00,204,202,207,Car,13,36,748.25,Yes,99.02
270,Mall,2024-01-12 05:00:00,166,113,106,SUV,11,84,3561.15,No,68.07
271,Office,2024-01-12 06:00:00,51,197,127,SUV,20,55,4280.1,Yes,386.27
272,Commercial,2024-01-12 07:00:00,142,60,92,Bike,23,83,3444.98,Yes,42.25
273,Commercial,2024-01-12 08:00:00,215,39,99,Bike,107,62,138.5,Yes,18.14
274,Mall,2024-01-12 09:00:00,180,20,44,Car,10,50,1120.35,No,11.11
275,Office,2024-01-12 10:00:00,193,229,227,Electric,118,56,393.93,No,118.65
276,Office,2024-01-12 11:00:00,143,117,63,SUV,119,110,2873.41,No,81.82
277,Hospital,2024-01-12 12:00:00,89,85,23,SUV,15,67,3794.56,No,95.51
278,Office,2024-01-12 13:00:00,51,176,159,Car,80,80,597.37,No,345.1
279,Office,2024-01-12 14:00:00,130,99,83,Car,65,64,4199.77,No,76.15
280,Office,2024-01-12 15:00:00,218,214,72,Bike,46,69,2799.77,No,98.17
281,Residential,2024-01-12 16:00:00,61,132,199,Bike,17,85,3465.35,No,216.39
282,Hospital,2024-01-12 17:00:00,212,209,76,Electric,16,109,4858.44,Yes,98.58
283,Commercial,2024-01-12 18:00:00,284,200,237,Car,89,59,464.22,Yes,70.42
284,Mall,2024-01-12 19:00:00,114,201,66,Electric,78,119,4511.06,Yes,176.32
285,Commercial,2024-01-12 20:00:00,104,198,203,Car,24,61,674.21,No,190.38
286,Hospital,2024-01-12 21:00:00,94,134,54,SUV,54,118,1995.15,No,142.55
287,Mall,2024-01-12 22:00:00,256,191,180,Car,40,96,4264.62,No,74.61
288,Hospital,2024-01-12 23:00:00,267,229,185,Car,96,75,4535.96,No,85.77
289,Office,2024-01-13 00:00:00,150,131,77,SUV,92,77,2556.54,No,87.33
290,Mall,2024-01-13 01:00:00,262,103,161,Car,73,90,2990.82,No,39.31
291,Office,2024-01-13 02:00:00,111,210,64,Electric,41,30,3555.33,No,189.19
292,Commercial,2024-01-13 03:00:00,98,112,175,Bike,16,16,4172.16,No,114.29
293,Commercial,2024-01-13 04:00:00,176,232,155,Bike,103,75,651.48,No,131.82
294,Mall,2024-01-13 05:00:00,272,195,92,Electric,44,50,4059.84,Yes,71.69
295,Mall,2024-01-13 06:00:00,202,222,111,SUV,58,51,2432.32,No,109.9
296,Hospital,2024-01-13 07:00:00,72,193,204,Car,6,83,2280.59,No,268.06
297,Hospital,2024-01-13 08:00:00,201,248,235,Electric,54,42,2148.3,Yes,123.38
298,Office,2024-01-13 09:00:00,298,171,57,Bike,45,25,2570.6,No,57.38
299,Mall,2024-01-13 10:00:00,87,40,191,Bike,49,18,4728.0,No,45.98
300,Commercial,2024-01-13 11:00:00,77,61,50,Electric,107,6,2763.61,No,79.22
301,Hospital,2024-01-13 12:00:00,70,98,136,Bike,110,76,4768.23,No,140.0
302,Hospital,2024-01-13 13:00:00,231,85,122,Electric,13,113,942.44,Yes,36.8
303,Commercial,2024-01-13 14:00:00,156,138,24,Bike,66,74,3634.47,No,88.46
304,Hospital,2024-01-13 15:00:00,195,192,109,Electric,90,105,4070.59,No,98.46
305,Office,2024-01-13 16:00:00,213,31,20,Car,51,105,3411.69,No,14.55
306,Mall,2024-01-13 17:00:00,148,49,71,Car,9,37,3054.27,Yes,33.11
307,Commercial,2024-01-13 18:00:00,222,110,143,Car,80,109,2845.82,No,49.55
308,Mall,2024-01-13 19:00:00,168,120,85,Car,5,10,4311.61,No,71.43
309,Hospital,2024-01-13 20:00:00,122,138,200,Bike,48,94,4117.15,No,113.11
310,Hospital,2024-01-13 21:00:00,230,74,233,SUV,26,107,655.33,No,32.17
311,Commercial,2024-01-13 22:00:00,279,200,35,Electric,42,109,4250.51,No,71.68
312,Office,2024-01-13 23:00:00,171,243,106,SUV,119,41,2099.64,No,142.11
313,Residential,2024-01-14 00:00:00,79,191,141,Bike,23,18,1305.8,No,241.77
314,Commercial,2024-01-14 01:00:00,237,179,94,Bike,84,41,4355.35,No,75.53
